,X1Procedurální,X2Procedurální,X3Rovnost,X4Potøeby,X5Potøeby,X6Procedurální,X7Procedurální,X8Procedurální,X9Potøeby,X10Rovnost,X11Potøeby,X12Zásluhy,X13Zásluhy,X14Rovnost,X15Rovnost,X16Potøeby,X17Rovnost,X18Potøeby,X19Zásluhy,X20Zásluhy,X21Zásluhy,X22Rovnost,X23Procedurální,X24Procedurální,X25Zásluhy,X26Procedurální
211,6,6,4,3,6,6,7,4,2,6,3,7,7,7,7,3,6,2,5,4,5,6,6,6,6,6
212,7,7,7,4,4,7,7,7,4,7,4,7,4,7,7,6,5,5,4,4,4,7,7,7,5,7
213,6,5,2,5,5,6,7,6,3,6,3,3,5,2,4,6,3,4,5,5,5,6,6,5,5,7
214,7,6,6,6,5,5,5,5,4,6,5,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6
215,6,6,5,5,5,5,5,6,4,5,4,5,6,4,5,6,4,5,5,6,6,5,5,5,6,6
216,5,6,5,5,4,6,6,6,3,2,5,6,6,4,3,5,3,5,5,5,5,5,6,6,6,7
217,7,6,6,4,6,5,7,7,4,6,4,4,5,2,5,5,4,4,6,5,5,7,5,6,7,7
218,7,7,6,7,4,5,6,7,4,7,4,7,6,6,6,6,7,4,6,4,6,7,6,7,4,7
219,4,5,3,6,6,4,6,6,3,5,3,5,3,4,3,6,6,5,5,6,4,6,4,5,6,5
220,6,6,4,5,3,4,6,6,2,5,2,4,6,4,6,3,5,5,6,6,6,6,4,4,6,6
221,6,5,5,6,5,5,6,6,3,7,6,4,6,5,4,7,2,7,6,7,7,5,7,6,7,4
222,7,6,4,5,5,5,7,7,3,6,5,6,6,4,3,6,4,4,6,7,7,6,6,7,7,7
223,5,6,4,5,4,4,4,4,4,4,5,5,5,4,4,5,3,5,5,7,6,3,4,5,5,5
224,6,6,5,5,4,5,7,6,5,6,4,6,5,6,5,5,5,5,5,4,5,5,6,6,5,5
225,7,7,3,6,5,6,7,7,4,6,4,6,7,6,7,7,1,6,7,7,7,2,6,7,6,7
226,4,6,3,5,4,4,6,6,2,6,2,6,6,6,6,6,5,3,6,6,6,6,6,6,7,4
227,6,6,5,6,4,6,7,6,5,4,4,5,6,5,5,7,4,4,6,7,7,7,7,7,7,6
228,6,6,4,6,4,5,5,5,5,5,4,3,5,6,3,6,3,3,5,4,5,6,6,7,5,6
229,6,7,3,2,5,5,7,6,1,7,5,6,4,7,6,6,7,5,6,6,5,7,7,5,5,6
230,7,6,7,4,5,5,7,7,5,6,6,7,6,6,5,6,2,6,6,7,7,7,7,7,7,7
231,6,4,5,4,3,5,4,6,3,5,4,5,5,6,6,4,6,5,6,6,5,6,6,6,5,6
232,7,7,6,6,5,5,7,7,3,6,5,5,6,6,4,4,3,6,6,6,6,7,7,7,6,7
